date,Blinkit,Zepto,Swiggy Instamart
2026-02-19,39,25,3
2026-02-20,43,25,3
2026-02-21,45,26,3
2026-02-22,45,27,2
2026-02-23,40,24,3
2026-02-24,40,24,2
2026-02-25,41,24,3
2026-02-26,39,23,2
2026-02-27,40,24,3
2026-02-28,46,26,3
2026-03-01,51,27,3
2026-03-02,49,29,3
2026-03-03,50,32,3
2026-03-04,48,31,4
2026-03-05,41,25,3
2026-03-06,43,25,3
2026-03-07,48,27,2
2026-03-08,49,29,3
2026-03-09,43,27,3
2026-03-10,43,27,2
2026-03-11,44,27,3
2026-03-12,42,26,3
2026-03-13,41,26,3
2026-03-14,46,29,3
2026-03-15,49,28,3
2026-03-16,41,25,3
2026-03-17,42,25,3
2026-03-18,44,29,3
2026-03-19,45,26,3
2026-03-20,41,26,3
2026-03-21,44,26,3
2026-03-22,45,28,3
2026-03-23,39,23,2
2026-03-24,38,22,2
2026-03-25,40,24,3
2026-03-26,45,25,2
2026-03-27,43,24,2
2026-03-28,41,23,2
2026-03-29,45,27,2
2026-03-30,38,27,2
2026-03-31,42,26,2
2026-04-01,43,25,3
2026-04-02,38,23,2
2026-04-03,42,22,3
2026-04-04,42,23,2
2026-04-05,45,26,3
2026-04-06,39,22,3
2026-04-07,38,23,2
2026-04-08,40,23,2
2026-04-09,38,23,3
2026-04-10,39,22,2
2026-04-11,41,24,2
2026-04-12,46,25,2
2026-04-13,40,23,2
2026-04-14,42,25,2
2026-04-15,42,23,2
2026-04-16,40,23,3
2026-04-17,38,24,2
2026-04-18,42,24,3
2026-04-19,49,27,3
2026-04-20,40,25,2
2026-04-21,39,24,2
2026-04-22,40,23,2
2026-04-23,39,22,2
2026-04-24,40,23,2
2026-04-25,47,24,2
2026-04-26,46,27,3
2026-04-27,39,25,2
2026-04-28,39,23,2
2026-04-29,46,22,2
2026-04-30,40,24,2
2026-05-01,43,25,3
2026-05-02,41,24,2
2026-05-03,43,24,2
2026-05-04,39,20,2
2026-05-05,39,24,2
2026-05-06,45,24,2
2026-05-07,43,24,2
2026-05-08,44,27,2
2026-05-09,49,27,2
2026-05-10,52,28,2
2026-05-11,40,25,2
2026-05-12,43,26,2
2026-05-13,42,24,2
2026-05-14,44,25,2
2026-05-15,42,25,2
2026-05-16,48,28,2
2026-05-17,79,28,2
2026-05-18,100,24,2
2026-05-19,48,18,1
